id,sex,bdate,has_photo,has_mobile,followers_count,graduation,education_form,relation,education_status,langs,life_main,people_main,last_seen,occupation_type,career_start,career_end,result
10066,1,6.10.1994,0,1.0,1204.0,2016.0,Full-time,4.0,Student (Bachelor's),Українська;Deutsch;English,False,2,2020-12-13 13:57:58,university,False,False,1
23515,1,3.12,1,1.0,287.0,2009.0,Full-time,7.0,Alumnus (Specialist),Українська,0,0,2020-08-17 23:39:25,work,2009,False,1
20175,2,8.10.1981,0,1.0,54.0,2014.0,Full-time,4.0,Undergraduate applicant,Українська,False,False,2020-08-24 03:32:21,university,False,False,0
3980,2,13.3.1989,1,1.0,464.0,2011.0,Full-time,1.0,Student (Specialist),Українська,False,False,2020-01-07 22:36:15,work,2007,2021,1
94217,2,12.9.1978,1,1.0,62.0,2001.0,Full-time,4.0,Alumnus (Specialist),False,0,0,2020-06-12 16:26:43,university,False,False,0
26233,2,13.3,0,1.0,78.0,2004.0,Distance Learning,4.0,Student (Specialist),Українська,1,5,2020-10-22 22:11:11,university,False,False,0
70250,1,30.9,1,1.0,172.0,0.0,Full-time,1.0,Alumnus (Specialist),Українська,False,False,2020-01-10 23:18:37,university,False,False,1
47680,2,,1,1.0,8.0,2016.0,Full-time,4.0,Alumnus (Bachelor's),Беларуская (тарашкевiца);Українська;English,6,2,2020-12-24 08:45:02,work,2015,False,0
77890,1,12.7,1,1.0,495.0,2021.0,Full-time,0.0,Student (Specialist),Українська;English,1,2,2020-06-02 04:32:06,university,False,False,1
96179,1,24.9.1992,1,1.0,306.0,2016.0,Distance Learning,0.0,Alumnus (Bachelor's),Українська,0,0,2020-08-26 22:24:18,university,False,False,1
18016,2,4.5.1984,1,1.0,78.0,2011.0,Full-time,4.0,Alumnus (Specialist),Українська,False,False,2020-01-21 01:01:34,university,False,False,0
87091,2,21.4,0,1.0,7363.0,2016.0,Full-time,0.0,Alumnus (Bachelor's),English;Українська,0,0,2020-12-26 22:07:43,university,False,False,0
55823,1,30.12,1,1.0,303.0,2008.0,Full-time,0.0,Alumnus (Specialist),Українська;English,1,0,2020-03-04 05:51:55,university,False,False,1
41257,2,23.12,0,1.0,162.0,1989.0,Full-time,0.0,Alumnus (Specialist),Українська,6,1,2020-01-05 04:40:31,university,False,False,1
77691,1,20.7.1927,0,1.0,182.0,1945.0,Full-time,0.0,PhD,Українська,0,0,2020-02-13 15:14:06,university,False,False,1
67324,2,6.9.1989,0,1.0,20.0,1940.0,Distance Learning,1.0,Undergraduate applicant,False,6,0,2020-09-27 16:10:25,university,False,False,0
12891,2,,1,1.0,44.0,2003.0,Full-time,0.0,Alumnus (Specialist),Українська,0,0,2020-11-26 19:52:37,university,2006,2006,1
97473,2,23.4.1991,1,1.0,453.0,2009.0,Full-time,2.0,Student (Specialist),Українська;Татарча,0,0,2020-01-28 00:29:04,,False,False,0
5510,2,15.2.1976,1,1.0,438.0,1999.0,Full-time,4.0,Alumnus (Specialist),False,False,False,2020-09-07 19:42:48,work,2002,False,1
78298,2,,1,1.0,151.0,2017.0,Full-time,0.0,Student (Bachelor's),False,7,5,2020-02-29 16:03:06,university,False,False,0
43116,1,,1,1.0,307.0,2015.0,Full-time,0.0,Student (Master's),Українська,0,0,2020-10-01 06:03:27,work,False,False,1
72534,2,3.3.1989,0,1.0,133.0,2011.0,Full-time,0.0,Student (Specialist),Українська,0,0,2020-09-27 12:04:12,university,False,False,0
93630,1,26.1.1995,0,1.0,539.0,2018.0,Full-time,1.0,Student (Master's),False,1,2,2020-01-22 18:16:46,work,False,False,1
16449,1,14.10.1988,1,1.0,105.0,2010.0,Full-time,4.0,Student (Specialist),Українська;English,1,2,2020-12-19 10:07:11,work,False,False,1
38282,2,17.6,1,1.0,561.0,2009.0,Distance Learning,0.0,Alumnus (Specialist),Українська,5,6,2020-12-05 18:13:42,university,False,False,1
61869,2,9.1.1993,0,1.0,580.0,0.0,Full-time,1.0,Student (Bachelor's),Українська;Башҡортса;English;Français,6,6,2020-06-17 09:22:03,university,2013,2015,1
75350,1,,0,1.0,19.0,2005.0,Full-time,0.0,Alumnus (Specialist),Українська,False,False,2020-01-15 13:26:36,university,False,False,1
33380,2,,1,1.0,2314.0,0.0,Part-time,1.0,Student (Specialist),Українська,5,2,2020-01-12 23:48:54,work,2017,False,0
52374,1,17.6.1982,0,1.0,44.0,2011.0,Distance Learning,4.0,Student (Specialist),Українська,0,0,2020-03-19 10:28:18,work,2008,False,1
5684,1,18.11.1992,1,1.0,337.0,2015.0,Full-time,4.0,Student (Specialist),False,0,0,2020-06-07 17:22:14,university,False,False,1
18845,1,21.8,1,1.0,97.0,0.0,Full-time,1.0,Student (Specialist),Українська,0,0,2020-12-29 10:07:35,university,False,False,1
91073,1,16.10.1990,0,1.0,101.0,2012.0,Full-time,4.0,Alumnus (Specialist),Українська,1,2,2020-11-22 03:15:23,,False,False,1
35025,2,,0,1.0,370.0,2014.0,Full-time,1.0,Alumnus (Specialist),Українська;English;Русский,6,1,2020-02-19 22:30:07,university,2007,2016,0
62572,1,14.3,0,1.0,1313.0,2011.0,Full-time,4.0,Alumnus (Specialist),Українська,1,2,2020-11-12 20:46:16,university,2011,2018,0
36038,1,11.11.1987,0,1.0,2269.0,2009.0,Full-time,4.0,Alumnus (Specialist),Українська,False,False,2020-01-09 04:59:45,university,False,False,1
88581,2,8.2.1990,0,1.0,95.0,2009.0,Full-time,4.0,Student (Specialist),False,1,2,2020-06-24 19:14:46,work,2009,False,0
35514,1,4.10.1995,1,1.0,204.0,2018.0,Full-time,1.0,Student (Specialist),Українська,False,False,2020-11-30 13:45:52,university,False,False,1
85413,1,22.6,0,1.0,351.0,0.0,Full-time,4.0,Alumnus (Specialist),Українська,0,0,2020-10-05 23:38:15,university,2003,2010,1
37353,2,19.1.1984,0,1.0,201.0,2006.0,Full-time,0.0,Alumnus (Master's),Українська,6,3,2020-03-14 19:59:52,university,False,False,0
53508,1,23.6,0,1.0,116.0,2006.0,Distance Learning,0.0,Alumnus (Specialist),False,False,False,2020-06-18 12:32:00,university,False,False,1
52046,2,11.5.1991,1,1.0,127.0,2014.0,Full-time,1.0,Student (Master's),False,0,0,2020-08-01 03:29:02,university,False,False,1
65426,2,20.1,0,1.0,41.0,0.0,Full-time,1.0,Alumnus (Master's),Українська,0,0,2020-08-29 17:17:13,,False,False,0
98970,2,20.2.1983,1,1.0,73.0,2005.0,Full-time,4.0,Alumnus (Specialist),False,False,False,2020-11-16 12:58:14,university,False,False,0
87638,1,23.11,1,1.0,634.0,2013.0,Distance Learning,0.0,Alumnus (Master's),False,0,0,2020-06-19 12:28:08,university,False,False,1
58149,1,24.1,1,1.0,1191.0,2012.0,Full-time,4.0,Alumnus (Master's),False,False,False,2020-07-09 08:24:46,university,False,False,1
57264,2,26.6.1990,1,1.0,110.0,2013.0,Full-time,0.0,Alumnus (Specialist),Українська;English;Français,6,6,2020-12-16 22:32:02,work,2012,False,1
19096,2,9.5.1993,1,1.0,72.0,2015.0,Full-time,0.0,Alumnus (Bachelor's),False,6,6,2020-01-17 07:18:10,work,2017,False,0
19695,2,9.4.1992,0,1.0,154.0,2014.0,Full-time,1.0,Student (Specialist),Українська,6,2,2020-09-11 21:17:13,university,False,False,0
98038,2,,0,1.0,33.0,2011.0,,0.0,Alumnus (Master's),Українська;Русский;English,False,False,2020-09-06 23:37:01,university,False,False,0
22842,2,10.2.1989,0,1.0,401.0,2011.0,Full-time,1.0,Student (Specialist),Українська,0,0,2020-01-02 17:30:42,university,False,False,0
67212,1,7.5,1,1.0,145.0,2013.0,Full-time,0.0,Student (Specialist),False,0,0,2020-10-05 06:10:14,university,False,False,1
87442,2,20.2.1986,1,1.0,186.0,0.0,Full-time,1.0,Student (Specialist),Українська,False,False,2020-03-10 16:35:46,work,1986,False,0
45108,2,13.7.1986,1,1.0,85.0,2009.0,Full-time,0.0,Alumnus (Specialist),Українська,False,False,2020-08-12 20:09:42,university,False,False,0
92434,1,30.11.1985,1,1.0,148.0,2007.0,Full-time,4.0,Alumnus (Specialist),False,0,0,2020-02-26 16:11:36,university,False,False,1
17858,2,18.1.1986,1,1.0,126.0,0.0,Full-time,0.0,Student (Specialist),False,0,0,2020-04-26 18:15:57,university,2007,2008,0
39531,1,9.6.1981,1,1.0,783.0,2012.0,Part-time,0.0,Alumnus (Bachelor's),Українська,0,0,2020-11-02 22:36:52,university,False,False,1
40254,1,,0,1.0,28.0,2000.0,Full-time,4.0,Alumnus (Specialist),Українська,False,False,2020-12-12 14:35:07,university,False,False,0
10872,2,6.12,1,0.0,153.0,2010.0,Full-time,4.0,Alumnus (Specialist),Українська,False,False,2020-05-24 12:03:12,work,False,False,0
18411,2,23.4,1,1.0,343.0,2015.0,Full-time,0.0,Alumnus (Specialist),Українська,0,0,2020-09-12 19:05:05,work,2018,False,0
22995,2,12.8.1983,1,1.0,56.0,2005.0,Full-time,0.0,Alumnus (Master's),Українська,1,2,2020-07-24 01:33:23,work,2014,False,1
95523,1,17.8.1992,0,1.0,518.0,0.0,Distance Learning,4.0,Student (Specialist),Українська,1,2,2020-03-02 14:45:48,university,False,False,1
43200,2,12.9.1991,1,1.0,104.0,2015.0,Distance Learning,1.0,Student (Bachelor's),Українська,1,2,2020-02-11 14:16:23,university,2009,2009,0
26362,2,11.1.1989,1,1.0,624.0,2011.0,Full-time,0.0,Alumnus (Bachelor's),Українська,3,5,2020-03-07 10:14:13,university,False,False,0
22756,2,,1,1.0,200.0,2003.0,Full-time,4.0,Alumnus (Specialist),Українська,0,0,2020-03-06 22:03:45,work,2003,False,0
5963,2,,0,1.0,373.0,2016.0,Full-time,0.0,Alumnus (Bachelor's),Українська,1,2,2020-11-28 17:14:22,university,False,False,0
90120,1,5.8.1984,1,1.0,1292.0,2005.0,Full-time,0.0,Alumnus (Master's),Українська,1,2,2020-08-12 14:12:35,work,2004,False,1
88313,2,31.5.1985,1,1.0,247.0,2008.0,Part-time,1.0,Alumnus (Specialist),Українська,1,2,2020-12-02 19:57:15,university,False,False,0
75706,2,1.12.1984,1,1.0,174.0,2007.0,Full-time,1.0,Alumnus (Master's),Українська,0,6,2020-03-24 18:40:19,work,2004,False,0
30503,2,14.12,0,1.0,192.0,2017.0,Full-time,0.0,Student (Bachelor's),Українська;English;Français,3,2,2020-10-04 02:47:08,university,False,False,0
46820,2,,0,1.0,38.0,2000.0,Full-time,0.0,Alumnus (Specialist),False,False,False,2020-07-21 23:33:06,university,False,False,1
5879,1,14.8.1982,1,1.0,25.0,2009.0,Distance Learning,5.0,Alumnus (Specialist),False,False,False,2020-07-02 07:46:11,university,False,False,1
95777,2,1.8.1914,0,0.0,91.0,2014.0,Full-time,0.0,PhD,Абаза Бызшва,0,0,2020-11-18 14:33:47,university,2013,2014,0
99675,2,3.7.1986,1,1.0,43.0,2008.0,Full-time,4.0,Alumnus (Specialist),Українська,0,0,2020-08-10 22:37:31,university,False,False,0
82283,1,15.3.1992,0,1.0,257.0,2013.0,Distance Learning,0.0,Student (Bachelor's),Українська;Deutsch;English,0,6,2020-05-04 17:32:46,university,False,False,1
13213,1,15.4.1994,1,1.0,155.0,2016.0,Full-time,1.0,Alumnus (Bachelor's),False,6,2,2020-12-01 22:04:37,university,False,False,1
71332,1,13.10,0,1.0,1629.0,2014.0,Full-time,0.0,Student (Specialist),False,1,6,2020-10-21 12:06:04,work,2013,False,1
43456,2,5.3.1984,1,1.0,303.0,2007.0,,4.0,Alumnus (Specialist),Українська;English;Чăвашла,1,2,2020-06-11 01:29:56,work,2020,False,0
35957,1,3.8.1989,0,1.0,530.0,2011.0,Distance Learning,0.0,Student (Specialist),Українська,0,0,2020-11-19 06:26:56,university,False,False,1
20691,2,7.7.1983,1,1.0,50.0,2015.0,Distance Learning,4.0,Alumnus (Specialist),Українська,False,False,2020-01-29 20:19:00,university,False,False,0
50464,1,8.7.1991,0,1.0,130.0,2013.0,Distance Learning,4.0,Alumnus (Specialist),False,0,0,2020-09-27 09:45:48,work,2011,False,1
33741,2,,1,1.0,42.0,2013.0,Full-time,4.0,Student (Bachelor's),Українська,False,False,2020-08-04 01:22:27,university,False,False,0
35050,2,18.3.1995,1,1.0,358.0,2018.0,Full-time,0.0,Student (Specialist),Українська,3,0,2020-04-16 14:02:43,work,1995,False,0
1819,2,4.3,0,1.0,53.0,2007.0,Full-time,4.0,Alumnus (Specialist),Українська,False,False,2020-10-25 15:47:31,work,2007,False,1
78358,1,4.8.1980,0,1.0,104.0,2003.0,Part-time,4.0,Alumnus (Specialist),False,False,False,2020-10-07 22:54:50,university,False,False,1
22846,1,1.8.1980,0,1.0,767.0,2003.0,Full-time,4.0,Alumnus (Specialist),Українська,False,False,2020-08-31 08:41:05,work,2018,False,1
36651,2,30.8.1990,1,1.0,7.0,2007.0,Full-time,0.0,Alumnus (Master's),Українська,0,0,2020-10-06 21:27:30,university,False,False,0
12326,1,6.7.1991,1,1.0,279.0,2012.0,Full-time,4.0,Student (Specialist),False,0,0,2020-12-22 19:21:59,work,False,False,1
17272,1,5.12.1993,1,1.0,922.0,2021.0,,4.0,Alumnus (Master's),False,0,0,2020-10-27 16:43:06,university,False,False,1
17757,1,17.5,1,1.0,869.0,2011.0,Distance Learning,0.0,Alumnus (Specialist),Українська,0,0,2020-01-19 07:29:47,university,False,False,1
65285,2,29.4,1,1.0,80.0,2011.0,Full-time,4.0,Student (Bachelor's),Українська,0,2,2020-02-29 23:27:02,work,2001,False,1
49096,1,11.12,1,1.0,623.0,0.0,Full-time,4.0,Student (Specialist),Українська,6,1,2020-05-07 06:49:26,university,False,False,1
22310,2,28.8,0,1.0,94.0,2011.0,Distance Learning,0.0,Student (Bachelor's),Українська,0,0,2020-03-23 21:29:45,university,2010,2011,0
68039,2,25.9.1985,0,1.0,202.0,2016.0,,0.0,Alumnus (Specialist),Українська;English;Français;Svenska;हिन्दी;Словѣ́ньскъ,0,0,2020-10-09 06:38:57,work,2004,False,1
41578,1,6.7,0,1.0,217.0,2001.0,Full-time,4.0,Alumnus (Specialist),Українська,0,0,2020-02-13 08:22:39,university,2001,2013,1
8751,2,13.7.1984,1,1.0,81.0,2005.0,Full-time,4.0,Alumnus (Specialist),Українська,False,False,2020-12-27 12:26:38,work,2007,False,0
83843,2,17.10,1,1.0,95.0,2003.0,Full-time,4.0,Alumnus (Master's),Українська,0,0,2020-06-30 11:31:22,university,2014,False,0
18367,2,,1,1.0,82.0,2014.0,Full-time,4.0,Student (Specialist),False,0,0,2020-06-16 02:36:04,university,False,False,0
48331,2,14.2,1,1.0,62.0,0.0,Full-time,0.0,Undergraduate applicant,Українська,2,False,2020-10-12 17:59:35,university,False,False,0
23442,1,27.3,1,1.0,323.0,2016.0,Full-time,0.0,Alumnus (Specialist),False,0,0,2020-07-17 08:05:34,work,2015,False,1
28530,1,5.12.1987,1,1.0,118.0,2015.0,Full-time,0.0,Student (Bachelor's),False,2,1,2020-12-29 04:36:05,,False,False,1
28635,2,,0,1.0,180.0,0.0,Full-time,0.0,Alumnus (Bachelor's),Українська;English;Español,0,0,2020-02-05 08:19:20,university,False,False,1
54995,1,27.8.1994,0,1.0,339.0,2016.0,Full-time,4.0,Student (Bachelor's),Українська;English,6,1,2020-08-22 11:42:13,work,2018,False,1
80784,1,,0,1.0,29.0,0.0,Full-time,0.0,Alumnus (Specialist),False,False,False,2020-08-30 10:04:58,,False,False,1
12458,1,23.1.1992,1,1.0,454.0,2012.0,,4.0,Alumnus (Specialist),Українська,1,2,2020-10-29 08:05:31,university,False,False,1
52035,1,25.9,0,1.0,40.0,2002.0,Full-time,0.0,Alumnus (Specialist),Українська,0,0,2020-10-30 15:48:52,university,2002,2014,1
28312,2,,0,1.0,190.0,2013.0,Full-time,1.0,Alumnus (Specialist),Українська;English;Deutsch,0,0,2020-03-25 04:58:30,university,False,False,0
89424,1,6.1,0,1.0,975.0,2014.0,Full-time,0.0,Alumnus (Specialist),Українська;English,6,6,2020-08-10 15:27:44,work,2013,False,1
31961,2,6.9.1996,1,1.0,83.0,0.0,Distance Learning,7.0,Alumnus (Bachelor's),Українська,6,5,2020-07-09 01:26:34,work,False,False,0
41819,1,10.9.1990,0,1.0,1960.0,2015.0,Distance Learning,1.0,Alumnus (Specialist),Українська,6,2,2020-06-29 15:15:24,university,False,False,1
75186,2,19.8.1976,1,1.0,33.0,2000.0,Distance Learning,1.0,Alumnus (Specialist),Українська,False,False,2020-08-04 19:18:11,university,False,False,0
52101,1,24.5.1994,1,1.0,225.0,0.0,Full-time,4.0,Student (Bachelor's),Українська;English,0,0,2020-01-11 05:52:53,university,False,False,1
88270,2,13.12.1989,0,1.0,215.0,2011.0,Full-time,0.0,Alumnus (Specialist),Українська;English;Deutsch;Лакку маз,1,2,2020-04-11 11:58:27,university,False,False,1
49379,2,16.6.1984,1,1.0,578.0,2007.0,Full-time,4.0,Alumnus (Specialist),Українська;Русский;English,0,0,2020-04-19 22:31:31,work,2007,False,0
82576,1,23.11.1992,1,1.0,146.0,2014.0,Full-time,0.0,Student (Specialist),Українська;English;Italiano,0,0,2020-01-03 20:22:20,university,False,False,1
83092,2,3.4.1992,0,1.0,221.0,2016.0,,4.0,Student (Bachelor's),Українська,0,0,2020-06-01 14:33:04,university,False,False,0
24851,2,25.6.1990,0,1.0,24.0,2010.0,Full-time,4.0,Undergraduate applicant,Українська,1,0,2020-08-27 00:43:10,university,False,False,0
3624,2,5.11.1990,0,1.0,252.0,2016.0,Distance Learning,7.0,Student (Specialist),Українська,0,0,2020-12-03 09:27:06,university,False,False,1
37815,1,20.2.1987,0,1.0,1772.0,2010.0,Full-time,4.0,Alumnus (Specialist),Українська,0,0,2020-11-02 05:10:39,work,2019,False,1
65432,1,12.5,1,1.0,4588.0,2010.0,Full-time,4.0,Student (Specialist),Українська,0,6,2020-10-24 11:59:22,work,False,False,1
27578,2,16.9.1989,0,1.0,333.0,2015.0,Full-time,2.0,Alumnus (Specialist),Українська;English,5,1,2020-04-04 22:47:35,work,2015,False,1
7134,2,11.6,1,1.0,65.0,2005.0,Full-time,0.0,Alumnus (Master's),Українська,0,0,2020-11-10 17:45:32,university,False,False,0
54946,1,31.3,1,1.0,99.0,2006.0,,4.0,Alumnus (Specialist),Українська,0,0,2020-08-27 16:16:58,work,False,False,1
71221,1,12.11,1,1.0,215.0,0.0,Full-time,0.0,Student (Bachelor's),Українська,0,2,2020-12-24 03:03:49,work,2018,False,1
98612,2,12.4.1990,0,1.0,217.0,2012.0,Full-time,1.0,Student (Specialist),Українська,0,0,2020-04-14 09:58:12,university,False,False,0
79121,1,,0,1.0,41.0,0.0,Full-time,0.0,Alumnus (Specialist),False,False,False,2020-04-02 17:52:13,university,False,False,1
41360,1,5.11,0,1.0,22.0,2000.0,Part-time,0.0,Alumnus (Specialist),Українська,False,False,2020-01-02 16:00:17,university,False,False,1
98475,2,16.12.1981,0,1.0,115.0,2005.0,Full-time,0.0,Alumnus (Specialist),Українська,5,5,2020-03-03 12:22:22,work,False,False,1
53965,2,,1,1.0,75.0,2016.0,Full-time,0.0,Alumnus (Specialist),Українська;English,0,0,2020-10-29 12:47:02,university,False,False,0
76300,2,14.4.1994,0,1.0,1003.0,2016.0,Distance Learning,0.0,Student (Specialist),Українська,False,False,2020-04-06 20:18:42,university,False,False,0
74046,1,15.5,0,1.0,512.0,0.0,Full-time,4.0,Student (Bachelor's),Українська,False,False,2020-11-03 01:23:46,work,2013,False,1
31246,2,14.10.1993,0,1.0,540.0,2017.0,Part-time,4.0,Student (Specialist),Українська,6,2,2020-12-16 04:18:06,work,2015,False,0
60397,1,4.3,0,1.0,997.0,2016.0,Full-time,0.0,Alumnus (Bachelor's),Українська,1,2,2020-04-01 06:27:40,university,False,False,1
842,2,23.1.1990,0,1.0,116.0,2012.0,Full-time,0.0,Alumnus (Master's),Українська,1,2,2020-03-21 00:47:11,university,False,False,0
45623,2,14.6,1,1.0,245.0,2011.0,Full-time,1.0,Alumnus (Bachelor's),Українська;Русский;English,0,2,2020-01-01 17:54:52,university,False,False,0
92417,2,13.2.1989,0,1.0,352.0,2013.0,Distance Learning,4.0,Student (Specialist),Українська,0,0,2020-11-13 08:19:23,university,False,False,0
32357,1,23.7.1993,1,1.0,2655.0,2014.0,Full-time,7.0,Alumnus (Bachelor's),False,0,0,2020-07-06 04:45:43,university,False,False,1
38108,2,5.2,1,1.0,89.0,2007.0,Full-time,0.0,Alumnus (Specialist),Українська,False,False,2020-08-11 06:36:43,university,False,False,0
1640,1,11.11.1990,1,1.0,153.0,2014.0,Full-time,0.0,Alumnus (Master's),False,False,False,2020-07-26 20:01:35,university,False,False,1
87028,1,16.2.1971,0,1.0,171.0,1992.0,Full-time,4.0,Alumnus (Specialist),Українська,6,2,2020-09-12 03:36:36,university,False,False,1
66608,2,2.9,1,1.0,101.0,2009.0,Full-time,1.0,Alumnus (Specialist),Українська,1,5,2020-12-23 05:17:22,work,2005,False,0
92423,1,,1,1.0,214.0,2014.0,Distance Learning,0.0,Alumnus (Specialist),Українська,1,2,2020-10-16 00:12:52,university,False,False,0
49341,2,6.8.1948,1,1.0,5.0,1977.0,Full-time,4.0,Alumnus (Specialist),Українська,False,False,2020-06-20 12:18:19,university,False,False,1
46414,2,,1,1.0,34.0,2009.0,Part-time,4.0,Alumnus (Specialist),False,False,False,2020-07-04 22:07:34,university,False,False,0
83859,1,15.8,1,1.0,295.0,2013.0,Distance Learning,4.0,Alumnus (Specialist),False,0,0,2020-10-20 11:13:10,work,2015,False,1
65682,1,19.3.1984,0,1.0,180.0,2012.0,Part-time,4.0,Student (Specialist),Українська,False,False,2020-02-28 01:56:06,university,False,False,1
2265,1,31.3,0,1.0,269.0,0.0,,4.0,Candidate of Sciences,Українська,0,2,2020-04-21 14:09:33,,False,False,1
33855,2,12.10.1990,0,1.0,190.0,2013.0,Distance Learning,4.0,Student (Specialist),Українська,0,0,2020-10-04 00:44:41,work,False,False,0
60553,2,30.4.1990,1,1.0,374.0,2017.0,Part-time,0.0,Alumnus (Specialist),Українська,6,5,2020-10-25 09:26:03,university,False,False,0
99059,2,1.7.1995,0,1.0,60894.0,0.0,,4.0,Student (Master's),Українська;Deutsch;English;ภาษาไทย;Español,5,5,2020-07-14 21:47:39,work,2020,False,1
48642,2,30.8.1982,0,1.0,139.0,2004.0,Full-time,4.0,Alumnus (Specialist),Українська,0,0,2020-01-05 19:25:19,university,False,False,0
